"CUSIP.NO";"X";"ISSUER.NAME";"ISSUER.DESCRIPTION";"STATUS"
"B38564 10 8";"*";"EURONAV NV ANTWERPEN";"SHS";""
"B38564 90 8";"";"EURONAV NV ANTWERPEN";"CALL";""
"B38564 95 8";"";"EURONAV NV ANTWERPEN";"PUT";""
"C0534L AA 3";"";"AURORA CANNABIS INC";"DEBT  5.500% 2/2";""
"C10268 AC 1";"";"BLACKBERRY LTD";"DEBT  3.750%11/1";""
"C8509Q AA 6";"";"SSR MNG INC";"DEBT  2.500% 4/0";""
"D18190 89 8";"*";"DEUTSCHE BANK AG";"NAMEN AKT";""
"D18190 90 8";"";"DEUTSCHE BANK AG";"CALL";""
"D18190 95 8";"";"DEUTSCHE BANK AG";"PUT";""
"G0080J 10 4";"";"ACT II GLOBAL ACQUISITION CO";"CL A SHS";"ADDED"
"G0080J 11 2";"";"ACT II GLOBAL ACQUISITION CO";"UNIT 04/30/2026";"ADDED"
"G0080J 12 0";"";"ACT II GLOBAL ACQUISITION CO";"*W EXP 04/30/202";"ADDED"
"G0084W 10 1";"*";"ADIENT PLC";"ORD SHS";""
"G0084W 90 1";"";"ADIENT PLC";"CALL";""
"G0084W 95 1";"";"ADIENT PLC";"PUT";""
"G0120M 13 3";"";"AGBA ACQUISITION LTD";"UNIT 05/10/2024";"ADDED"
"G0129K 10 4";"*";"AIRCASTLE LTD";"COM";""
"G0129K 90 4";"";"AIRCASTLE LTD";"CALL";""
"G0129K 95 4";"";"AIRCASTLE LTD";"PUT";""
"G0132V 10 5";"";"AGM GROUP HOLDINGS INC";"SHS CL A";""
"G0176J 10 9";"*";"ALLEGION PUB LTD CO";"ORD SHS";""
"G0176J 90 9";"";"ALLEGION PUB LTD CO";"CALL";""
"G0176J 95 9";"";"ALLEGION PUB LTD CO";"PUT";""
"G01767 10 5";"*";"ALKERMES PLC";"SHS";""
"G01767 90 5";"";"ALKERMES PLC";"CALL";""
"G01767 95 5";"";"ALKERMES PLC";"PUT";""
"G0177J 10 8";"*";"ALLERGAN PLC";"SHS";""
"G0177J 90 8";"";"ALLERGAN PLC";"CALL";""
"G0177J 95 8";"";"ALLERGAN PLC";"PUT";""
"G0250X 10 7";"*";"AMCOR PLC";"ORD";"ADDED"
"G0250X 90 7";"";"AMCOR PLC";"CALL";"ADDED"
"G0250X 95 7";"";"AMCOR PLC";"PUT";"ADDED"
"G02602 10 3";"*";"AMDOCS LTD";"SHS";""
"G02602 90 3";"";"AMDOCS LTD";"CALL";""
"G02602 95 3";"";"AMDOCS LTD";"PUT";""
"G0335L 10 2";"*";"AMIRA NATURE FOODS LTD";"SHS";""
"G0335L 90 2";"";"AMIRA NATURE FOODS LTD";"CALL";""
"G0335L 95 2";"";"AMIRA NATURE FOODS LTD";"PUT";""
"G037AX 10 1";"*";"AMBARELLA INC";"SHS";""
"G037AX 90 1";"";"AMBARELLA INC";"CALL";""
"G037AX 95 1";"";"AMBARELLA INC";"PUT";""
"G0408V 10 2";"*";"AON PLC";"SHS CL A";""
"G0408V 90 2";"";"AON PLC";"CALL";""
"G0408V 95 2";"";"AON PLC";"PUT";""
"G04415 10 8";"";"ANDINA ACQUISITION CORP III";"SHS";""
"G04415 11 6";"";"ANDINA ACQUISITION CORP III";"UNIT 09/24/2020";""
"G04415 12 4";"";"ANDINA ACQUISITION CORP III";"*W EXP 07/31/202";""
"G04415 13 2";"";"ANDINA ACQUISITION CORP III";"RIGHT 07/31/2020";""
"G0443N 10 7";"";"AQUAVENTURE HLDGS LTD";"SHS";""
"G0450A 10 5";"*";"ARCH CAP GROUP LTD";"ORD";""
"G0450A 90 5";"";"ARCH CAP GROUP LTD";"CALL";""
"G0450A 95 5";"";"ARCH CAP GROUP LTD";"PUT";""
"G04553 10 6";"";"ARCO PLATFORM LTD";"COM CL A";""
